Diazepam,hiking,L-methylfolate,Writing,birth control,severe pain,milk,cream,spice,yoga,sugar free diet,travel,went swimming,Cambia,spicy meal,housework,Exercise--walking,depo-provera shot,elliptical,dairy,Gabapentin,exercise,Cat ,sushi,Slept well,ate badly,Daytime nap,listen to music ,Glucosamine,Multivitamin,Aspirin,slept in chair,Cat,Keppra,Swimming,ate well,heavy lifting,relaxed day,home alone,rice noodles,Lexapro,over ate,Ibuprofen,Meditation,Singing,massage,Pristiq,row
,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,,2.0,2.0,,2.0,,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,,,dairy
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,,,2.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,Gabapentin
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,exercise
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,Cat 
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,,0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,sushi
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,Slept well
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,0.0,,,,,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,ate badly
,,,,,,2.0,0.0,2.0,0.0,,0.0,2.0,,2.0,2.0,,2.0,,0.0,,2.0,,,,2.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,Daytime nap
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,listen to music 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glucosamine
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,Multivitamin
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,0.0,,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,Aspirin
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,,0.0,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,slept in chair
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,Cat
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,,,,,,2.0,2.0,0.0,2.0,,,2.0,,,Keppra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swimming
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,ate well
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,,0.0,,,,,,,,,,heavy lifting
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,,,,,,,,,,,relaxed day
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,,0.0,2.0,0.0,,,0.0,,,home alone
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,,2.0,0.0,,,0.0,,,rice noodles
,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,,2.0,,,2.0,,,Lexapro
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,0.0,,,over ate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meditation
,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,,,,,,Singing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pristiq
