very upset stomach,new heart rate monitor in step counter,"same meds i just can't be bothered listing them, ",physical exhaustion,active day,sex,feeling blank,At Mom and Dad's,physical exertion,ate breakfast,couldn't sleep because i had to catch the bunny,alcohol,migraine,fuck yeah avocado,overspending,feeling self destructive,missed dinner,Costco,late to work,felt slightly distant but not too bad,brain fog,plans canceled,Quiet,Anxious,period pains,got fired,worked,Sisu B Calm,napped a little bit on transport,last day of thesis,kids,called job centre,good sleep,excitement,bleeding from rear,Sore jaw,great pain all over,stressed,lots of gas,strong energy then CRASH,row
0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,couldn't sleep because i had to catch the bunny
,,,2.0,2.0,,,,2.0,0.0,,,2.0,,,,,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,0.0,,,alcohol
,,,0.0,0.0,,,,0.0,2.0,,2.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,,migraine
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,fuck yeah avocado
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,overspending
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,feeling self destructive
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,missed dinner
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,Costco
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,late to work
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,felt slightly distant but not too bad
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,,brain fog
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,plans canceled
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,Quiet
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,Anxious
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,period pains
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,got fired
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,2.0,,,worked
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,Sisu B Calm
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,napped a little bit on transport
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,0.0,,2.0,,0.0,0.0,last day of thesis
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,2.0,,,kids
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,,,0.0,0.0,,2.0,,0.0,0.0,called job centre
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,2.0,,,good sleep
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,0.0,0.0,excitement
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,,,2.0,,0.0,0.0,bleeding from rear
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,2.0,,,Sore jaw
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,,,2.0,2.0,great pain all over
,,,2.0,2.0,,,,2.0,0.0,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,stressed
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,,0.0,lots of gas
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,,strong energy then CRASH
