Home physio exercises,Iron,Migraine Diet,Prilosec,Vyvanse,Osteopathy,floravit iron,Valdoxan,Physiotherapy,Pantoprazole,Eyebright Complex,aqua therapy,Lithium,Metformin,Magnesium gel,pur-absorb iron,Vitamin d,Nasonex,Prednisone,Creatine,Citalopram,Zofran,Ecural,Synthroid,Soluble Aspirin,Buspirone,Physio,Topiramate,DLPA,ponstan,Vitamin B complex - 50,Valium,Paracatamol with codeine,Pataday,linseed,Ranitidine,Probiotic,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Multivitamin,Ondansetron,Panamax,Mirtazapine,Zoladex,Pain management,Voltaren,Fish oil,Zomig,psychologist,Wei Te Ling - heartburn,Clonazepam,Vitamin a,Standing desk,Ibuprofen,Methotrexate,Multi-vitamin,Mezavant,Nortriptyline,Imodium,row
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,pur-absorb iron
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Vitamin d
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Nasonex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Creatine
0.0,,,0.0,,2.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,2.0,,2.0,,,2.0,,,0.0,,,,,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,0.0,2.0,,,,,,,2.0,,,2.0,Citalopram
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Zofran
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Ecural
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soluble Aspirin
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Buspirone
0.0,,,0.0,,2.0,,,,2.0,,2.0,,2.0,,,,,,,0.0,,,,,,,2.0,,2.0,,,2.0,,,0.0,,,,,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,0.0,2.0,,,,,,,2.0,,,2.0,Physio
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,0.0,,,0.0,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,,0.0,,,0.0,Topiramate
,2.0,2.0,,2.0,,2.0,2.0,0.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,,,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,DLPA
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,,,,0.0,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,,0.0,,,0.0,ponstan
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Vitamin B complex - 50
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Valium
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,0.0,,,,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,,0.0,,,0.0,Paracatamol with codeine
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Pataday
,2.0,2.0,,2.0,,2.0,2.0,0.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,,0.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,linseed
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.675392403061,0.0,0.609693791836,2.0,0.273654288562,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,Ranitidine
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Probiotic
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Ventolin
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Tian Ma Tou Tong - headache
,2.0,2.0,,2.0,,2.0,2.0,0.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,,0.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,Codeine
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.675392403061,0.0,0.0,0.0,2.0,,0.0,0.00247475892239,0.0,0.114112852088,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Progesterone
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Spironolactone
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.609693791836,0.0,0.0,0.0,2.0,0.00247475892239,0.0,,0.0,0.0836886820501,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Vitamin B
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,,0.0,,,0.0,Migraine herb feverfew tablets
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.273654288562,0.0,0.0,0.0,2.0,0.114112852088,0.0,0.0836886820501,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Magnesium
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,2.0,0.0,,,,,,,0.0,,,0.0,Tranexamic acid
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Multivitamin
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Ondansetron
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Panamax
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Mirtazapine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoladex
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Pain management
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Fish oil
0.0,,,0.0,,2.0,,,,2.0,,2.0,,2.0,,,,,,,0.0,,,,,,0.0,2.0,,2.0,,,2.0,,,0.0,,,,,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,2.0,Zomig
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,,,,,,,,0.0,,,0.0,psychologist
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,Wei Te Ling - heartburn
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,Clonazepam
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,Vitamin a
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,Standing desk
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,Multi-vitamin
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,Mezavant
,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,Nortriptyline
2.0,,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,,0.0,,,,Imodium
