hiking,Midodrine,Vitamins,Yoga,gluten free diet,Fluvoxamine,Selenium,Vacation,Echinacea,exercise - dancing,Beer,Acetaminophen,Love,mountain biking,drank alcohol,Exercise,5-htp,Peristeen,Daytime sleep,blueberries,Cetirizine hydrochloride,lots of walking,Docosahexaenoic acid,Methylphenidate,bunny cuddles,occular migraine meds,listen to music ,Plaquenil,Biotin,elliptical,dairy,Gravol,Psychotherapy,Tyrosine,Vitamin b complex,exercise,flu vaccine injection,No red meat,Chiropractic,Seasonique,Tavegyl,foot brace,stress,Calcium citrate,Nycopro Probiotic,b12 injection,Support worker assistance,Topiramate,Magnesium,Iron,peanuts,Cetirizine,catheter,Folic acid,Fresh air,read book,Iodine,CrossFit,Glycine,Voltaren,Eicosapentaenoic acid,Ultrasound,Coenzyme q-10,strawberries,10K steps,Fishing,Vitamin d,crafting,Curcumin,Ropinirole,row
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,b12 injection
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Support worker assistance
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Topiramate
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Magnesium
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Iron
,,2.0,,,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,2.0,,,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,,,2.0,2.0,,,2.0,,,,,,0.0,2.0,,2.0,,2.0,,2.0,0.0,,,,,2.0,,peanuts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fresh air
,,2.0,,,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,2.0,,,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,,,2.0,2.0,,,2.0,0.0,,,,,,2.0,,2.0,,2.0,,2.0,0.0,,,,,2.0,,read book
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,,,0.0,,0.0,2.0,,,,,0.0,,Glycine
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,2.0,,,2.0,,0.0,Voltaren
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,,,0.0,2.0,,,,,0.0,,Eicosapentaenoic acid
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,2.0,,,2.0,,0.0,Ultrasound
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,,2.0,,,,,0.0,,Coenzyme q-10
,,2.0,,,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,2.0,,,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,,,2.0,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,2.0,,,,,,2.0,,strawberries
0.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,2.0,0.0,,0.0,2.0,,,0.0,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,,,,0.0,,2.0,10K steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fishing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
0.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,2.0,0.0,,0.0,2.0,,,0.0,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,0.0,,,,,2.0,crafting
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,,,Curcumin
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,,Ropinirole
