Fluvoxamine,haircut,Poor sleep (hotel),Ambien CR,Miralax low dose at night,fuck yeah avocado,ate breakfast,snuggly cat,busy,excerise,met a new cat,Lavender oil,sugar,N-acetyl cysteine,rice,Magnesium malate,cuddled kitten,goat cheese,butternut squash risotto,Magnesium,Gaba,drank a lot,read book,Slept most of the day,salad,ate grains,ate popcorn,cocodamol,gluten free prezels,Inositol,Buteyko  breathing exercises ,Low dose pain meds,gluten free diet,bed day,3 drinks,Tyrosine,grocery shopping,no sleep,Zofran,Hydroxyzine,Candesartan,exercise,Green Vibrance,Slept well,Epsom Salts,sugar yesterday,eat two Luna bars,Woke Up With Alarm,Superlong nap,listen to music ,coffee,Ropinirole,mass transit,CuraMed,studied,cuddles!,Better sleep,new environment,bed late,beans,Late lunch,ate at a restaurant,Plaquenil,cheese,napped well,Norco,hiking,More stretching,short nap,decent sleep,Lying flat,ate red meat,no sleep last night,vacation,washing up,Topiramate,dairy,slept late,rest day,Oxynorm,shopping,l-theanine,Midodrine,grains,very little sleep,had sex ,Phentermine,Wear shoulder brace,coconut,allergy shot,Selenium,marijuana,honey,Burbur-Pinella,Low Dose Naltrexone,drank alcohol,gluten free,Ginkgo,nap,L-theanine,dairy free,party,had sex last night,Protecting back,Hiked,Awesome cheat day,Voltaren,heating pads,no breakfast,heavy physcial exertion,Freezie wrap,Onions,one coffee,blowjob,walked,drawing,Sleep,Methylphenidate,row
,,,,,,0.0,2.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,met a new cat
,,,,,,2.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Lavender oil
,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,sugar
,,,,,,2.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,N-acetyl cysteine
,,,,,,0.0,2.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,rice
,,,,,,2.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium malate
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,cuddled kitten
,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,goat cheese
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,butternut squash risotto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,2.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Gaba
,,,,,,0.0,2.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,drank a lot
,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,read book
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,Slept most of the day
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,salad
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,ate grains
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,ate popcorn
,2.0,2.0,0.0,0.0,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,cocodamol
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,gluten free prezels
,,,,,,2.0,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Inositol
,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,Buteyko  breathing exercises 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low dose pain meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,bed day
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,3 drinks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,grocery shopping
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sleep
,2.0,2.0,0.0,0.0,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,0.0,,,,,,2.0,2.0,,,,,0.0,,0.0,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,Zofran
,2.0,2.0,0.0,0.0,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,0.0,,,,,,2.0,2.0,,,,0.0,,,0.0,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,Hydroxyzine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Candesartan
,2.0,2.0,0.0,0.0,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,0.0,,,,,,2.0,2.0,,,,0.0,0.0,,,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,exercise
,,,,,,2.0,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Green Vibrance
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,Slept well
,,,,,,2.0,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Epsom Salts
,,,,,,0.0,2.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,sugar yesterday
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,eat two Luna bars
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,Woke Up With Alarm
,,,,,,0.0,2.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,Superlong nap
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,listen to music 
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,mass transit
,,,,,,2.0,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,CuraMed
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,studied
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,cuddles!
,2.0,2.0,0.0,0.0,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,0.0,,,,,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,Better sleep
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,new environment
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,bed late
,,,,,,0.0,2.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,beans
,0.0,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,Late lunch
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,ate at a restaurant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,cheese
