Diazepam,Metoprolol,Tretinoin,Ritalin,BeachBody OnDemand,Aleve,L-methylfolate,Caffeine,Provigil,Feverfew,Amitryptiline,Naproxen,Omeprazole,Levothyroxine,birth control,Aspirin,Solifenacin,Hydrocortisone,Acetaminophen plus Codeine Number 3,sugar free diet,Fluoxetine,Viibryd,Armodafinil,digestive enzyme,Keppra,gluten free,excedrin migraine,Fruit,Plaquenil,elliptical,Exercise--walking,gluten free diet,Piyo,Topical ibuprofen,Cyclizine,Wore arch supports all day,Probiotic,Cabergoline,Inderal,Stretching,TigerBalm,Megaspore,cocodamol,Glucosamine,Multivitamin,5 or more portions of fruit and veg,Adderall,Cambia,Gabapentin,Medication,Migraine Diet,Low-FODMAP diet,wear mask,Florinef,Cranberry extract,Vitamin b12,colofac mr,Sleep,massage,Ibuprofen,Meditation,Passionflower,Lexapro,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exercise--walking
,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,gluten free diet
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,Piyo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topical ibuprofen
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wore arch supports all day
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabergoline
,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,Inderal
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,Stretching
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,TigerBalm
,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,Megaspore
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glucosamine
,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,Multivitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 or more portions of fruit and veg
,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,Cambia
,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,Gabapentin
,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,Medication
,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,Migraine Diet
,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,Low-FODMAP diet
,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,wear mask
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,Florinef
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Cranberry extract
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,Vitamin b12
,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,colofac mr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,2.0,,,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,Meditation
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Passionflower
,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Lexapro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pristiq
