Diazepam,Medications,AM meds,Midodrine,gluten free diet,physical therapy,Fluvoxamine,L-methylfolate,MitoQ ,Oestrogel,Sunlight,had sex,Florinef,Tavegyl,Zolpidem,Yoga,mountain biking,Exercise,Aspirin,Omega-3 Capsules,Methylphenidate,Keppra,Exercise--walking,Dermatologist,Venlafaxine,Plaquenil,counselor,psychiatrists,Prontolax Supp,exercise,Chiropractic,Vitamin d,Tyrosine,Topiramate,Gabapentine,Ropinirole,Magnesium,Glucosamine,Love,Cambia,Cleaning ,Gabapentin,Mersyndol Forte,Walking,Medication,neuro,Voltaren,Nortriptyline,banana,Hydrocortisone,Ultrasound,Coenzyme q-10,massage,Ibuprofen,Meditation,Pristiq,Lexapro,Pantoprazole,row
2.0,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,,0.0,2.0,0.0,0.0,,,,,,,,,,2.0,2.0,0.0,2.0,0.0,,Exercise--walking
,0.0,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,2.0,2.0,,,0.0,2.0,,,,,,,,,,,,2.0,0.0,2.0,,,,,,2.0,,,,,,,Dermatologist
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Venlafaxine
,,,2.0,0.0,,2.0,,,,,,,0.0,,0.0,2.0,0.0,,,0.0,,,,,,,,,,0.0,,2.0,2.0,,0.0,2.0,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,Plaquenil
,2.0,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,0.0,,,2.0,0.0,,,,,,,,,,,,0.0,2.0,0.0,,,,,,0.0,,,,,,,counselor
,2.0,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,0.0,,,,2.0,0.0,,,,,,,,,,,,0.0,2.0,0.0,,,,,,0.0,,,,,,,psychiatrists
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Prontolax Supp
,,,,,,,,2.0,2.0,,0.0,2.0,,2.0,,,,,2.0,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,0.0,2.0,,,,,,,,2.0,exercise
,0.0,,2.0,0.0,0.0,2.0,,,,,,,0.0,,0.00731872717053,2.0,1.15345655608,,,0.0,,,0.0,,0.0,2.0,2.0,,,,2.0,2.0,2.0,,0.0,2.0,,2.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,,,,,,,Chiropractic
,2.0,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,0.0,0.0,,,2.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,0.0,,,,,,,Vitamin d
,,,0.0,2.0,,0.0,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,,0.0,,2.0,0.0,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,Tyrosine
,,,0.0,2.0,,0.0,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,,,2.0,0.0,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,Topiramate
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Gabapentine
,,,2.0,0.0,,2.0,,,,,,,0.0,,0.0,2.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,2.0,2.0,,,2.0,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,Ropinirole
,,,0.0,2.0,,0.0,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,0.0,,2.0,,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,Magnesium
0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,Glucosamine
,,,0.0,2.0,,0.0,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,0.0,,2.0,0.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,Love
2.0,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,,,,,2.0,2.0,0.0,2.0,0.0,,Cambia
0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,Cleaning 
2.0,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,0.0,2.0,,0.0,,,,,,,,,,2.0,2.0,0.0,2.0,0.0,,Gabapentin
2.0,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,0.0,2.0,0.0,,,,,,,,,,,2.0,2.0,0.0,2.0,0.0,,Mersyndol Forte
,2.0,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,0.0,0.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,,0.0,,,,,,,Walking
,0.0,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,2.0,2.0,,,0.0,2.0,,,,,,,,,,,,2.0,,2.0,,,,,,2.0,,,,,,,Medication
,2.0,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,0.0,0.0,,,2.0,0.0,,,,,,,,,,,,0.0,2.0,,,,,,,0.0,,,,,,,neuro
,,,0.0,2.0,,0.0,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,0.0,,2.0,0.0,,0.0,,,,,,,,,,,,2.0,,,,,,,,Voltaren
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,Nortriptyline
,,,,,,,,2.0,2.0,,0.0,2.0,,2.0,,,,,2.0,,,,,2.0,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,2.0,banana
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,0.0,Hydrocortisone
,,,2.0,0.0,,2.0,,,,,,,0.0,,0.0,2.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,2.0,2.0,,0.0,2.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,Ultrasound
,2.0,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,0.0,0.0,,,2.0,0.0,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,,,,,,Coenzyme q-10
0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,,0.0,2.0,0.0,2.0,,massage
0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,,2.0,0.0,2.0,,Ibuprofen
2.0,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,0.0,2.0,0.0,0.0,,,,,,,,,,2.0,2.0,,2.0,0.0,,Meditation
0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,,2.0,,Pristiq
2.0,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,0.0,2.0,0.0,0.0,,,,,,,,,,2.0,2.0,0.0,2.0,,,Lexapro
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,,Pantoprazole
