Triamcinolone,masturbated,Vitamins,Migraine Diet,Language Learning,Fluids,wear mask,tumblr,Albuterol Inhaler,church,Slept well,Extra Medications,ate breakfast,danced,colofac mr,ASMR,Coffee,busy,Medical Marijuana,sitting,espresso,hot,Daily walk,housework,Fruit,Exercise--walking,SPD alternative treatments,Weather- rain,Therapy,catered food,long sleep,Benadryl,coffee,Aloe Detox Water,Ranitidine,Pet Therapy,Medical marijuana,Calcium citrate,breathing exercises,Essential oils,slept 12 hours,Low-FODMAP diet,pasta,bunny cuddles,worked,ate dairy ,ramen,Turmeric,Vitamin C,Medication,Cetirizine,Cinema,studied,shower,no sleep,exercise,Vitamin d,had sex,Meditation,13k steps,low protein,massage,TENS Unit,row
,,,2.0,,,2.0,,,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,0.0,0.0,,,,,0.0,,2.0,,,,Slept well
,,0.0,,0.0,2.0,,,,2.0,,,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Extra Medications
,0.0,,2.0,,,2.0,,2.0,,0.0,,,2.0,2.0,,,,,,,,,2.0,0.0,,,,,0.0,,2.0,,,0.0,,,2.0,,,,2.0,0.0,,0.0,,,2.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,,2.0,0.0,,,ate breakfast
,2.0,,,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,0.0,,,,,2.0,,2.0,,,0.0,2.0,,2.0,,,,,,0.0,,,,2.0,,,danced
,,,0.0,,,0.0,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,2.0,2.0,,,,,2.0,,0.0,,,,colofac mr
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,ASMR
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Coffee
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,,2.0,,0.0,,0.0,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,busy
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Medical Marijuana
0.0,,,,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,,,,,,,sitting
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,espresso
2.0,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,hot
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,Daily walk
,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,0.0,,,,,2.0,,2.0,,,0.0,2.0,,2.0,,,,,,0.0,,,,2.0,,,housework
,,,2.0,,,2.0,,,,0.0,,0.0,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,0.0,0.0,,,,,0.0,,2.0,,,,Fruit
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,Exercise--walking
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,SPD alternative treatments
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Weather- rain
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,Therapy
,,,2.0,,,2.0,,,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,0.0,0.0,,,,,0.0,,2.0,,,,catered food
2.0,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,long sleep
,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,,2.0,,2.0,,,0.0,2.0,,2.0,,,,,,0.0,,,,2.0,,,Benadryl
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,0.0,2.0,2.0,0.0,,,,,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,coffee
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Aloe Detox Water
,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,,,2.0,0.0,,0.0,,,,,,2.0,,,,0.0,,,Ranitidine
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Pet Therapy
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,Medical marijuana
,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,,2.0,,2.0,,,0.0,2.0,,2.0,,,,,,0.0,,,,2.0,,,Calcium citrate
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,breathing exercises
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Essential oils
,,2.0,,2.0,0.0,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,slept 12 hours
,,,0.0,,,0.0,,,,2.0,,2.0,,0.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,2.0,2.0,,,,,2.0,,0.0,,,,Low-FODMAP diet
,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,2.0,,,,,,,0.0,,,2.0,0.0,,0.0,,,,,,2.0,,,,0.0,,,pasta
2.0,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,bunny cuddles
,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,2.0,,,,,0.0,,,,,2.0,0.0,,0.0,,,,,,2.0,,,,0.0,,,worked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,ate dairy 
2.0,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,ramen
,2.0,2.0,,2.0,0.0,,,0.0,0.0,,2.0,2.0,0.0,,2.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,,,,2.0,2.0,2.0,,,,2.0,,0.0,,2.0,,2.0,2.0,2.0,Turmeric
,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,2.0,,,,,0.0,,0.0,,,2.0,,,0.0,,,,,,2.0,,,,0.0,,,Vitamin C
,,0.0,0.0,0.0,2.0,0.0,,,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,0.0,,,,,,2.0,,,,2.0,2.0,,0.0,,,2.0,0.0,0.0,,0.0,0.0,Medication
,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,2.0,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,,2.0,,,,0.0,,,Cetirizine
,,,2.0,,,2.0,,,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,,,0.0,,2.0,,,,Cinema
,,,2.0,,,2.0,,,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,0.0,,,,,,0.0,,2.0,,,,studied
2.0,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,shower
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,0.0,0.0,no sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,exercise
,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,0.0,,,,,2.0,,2.0,,,0.0,2.0,,2.0,,,,,,,,,,2.0,,,Vitamin d
,,,2.0,,,2.0,,,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,0.0,0.0,,,,,,,2.0,,,,had sex
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,,,,0.0,0.0,Meditation
,,,0.0,,,0.0,,,,2.0,,2.0,,0.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,2.0,2.0,,,,,2.0,,,,,,13k steps
,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,2.0,,,,,0.0,,0.0,,,2.0,0.0,,0.0,,,,,,2.0,,,,,,,low protein
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,,0.0,massage
,,0.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,TENS Unit
