Albuterol,Vitamins,Cod liver oil,IVIG,Naproxen,early night,played video games,ate breakfast,snuggly cat,lots of desk work,Vitamin D3,Prednisone,good breakfast,Zantac,nap,Psyllium husk,normal sleep,Self care,Dexedrine,coffee,ate badly,Walked a lot,playing music,Swimming,lifted weights,Marijuana,12K Steps,exercise,AOR Zinc-Copper Balance,Breakfast,masturbated,cookies,picnic,Dancing,Acetaminophen,eating out,cooking,Went to concert,Biotin,creative writing,worked out,made challah,Buffered Salmon Oil - DHA - EPA,Off work,Superlong nap,busy,Lamictal,Tavegyl,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,neck massage,Klonopin,slept in,Cetirizine,healthy dinner,studied,oatmeal,new environment,Vitamin d,Methotrexate,Curcumin,Tolterodine,Progressive muscle relaxation,swimming,hiking,physical therapy,Echinacea,decent sleep,Pepto-bismol,had sex,lots of walking,spinach,Biosil,went swimming,Therapy,Psychotherapy,slept late,social gathering,rest day,ate well,shopping,gluten,Trigger Points,swim class,Ligament Restore,coursera,slept 10 hours,Calcium citrate,Deep rest,Rather bad sleep,bunny cuddles,worked,pancakes dinner,Folic acid,Thyroid-Pro (CanPrev),Gardening,salad,slept 9 hours,catered food,Ibuprofen,Valtrex,marijuana,Bed at 11,prayer,breakfast,blueberries,Cetirizine hydrochloride,B12 timed release,travel,ate little,zoo,housework,Exercise--walking,ate dairy,party,Ate healthy,ate eggs,Zyrtec,medium sleep,Codeine,Support worker assistance,no breakfast,Adderall,heavy physcial exertion,Late lunch,juiced,Lymphatic massage,long shopping  trip,Valcyte,walked,cooked,Fishing,long walk,nachos,row
,,,,,,,0.0239178065887,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,0.0,,,,,,nap
,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psyllium husk
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,normal sleep
,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self care
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,coffee
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,ate badly
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walked a lot
,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,2.0,,,,,,0.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,playing music
,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,2.0,,,,,,0.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Swimming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,lifted weights
,,,,,,,5.50515841665e-05,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.99998938198,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99999814266,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Marijuana
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12K Steps
,,,,,,,0.000902309768854,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0001367129938,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,exercise
,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,2.0,0.0,,,,0.0,0.0,,,0.890852764459,,,,,0.0,0.875614350462,0.0,,,,0.0,,,,,0.0,,0.0,,,,,2.0,0.0,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,0.463342921203,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,AOR Zinc-Copper Balance
,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Breakfast
,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,masturbated
,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cookies
,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,picnic
,,,,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Dancing
,2.0,,,,,,1.99988597729,,0.0,,,,,,,,,,,,,,,,1.99998938198,,2.0,0.0,,,,,,,,,,0.0,,,,0.0,,2.0,,,,0.0,0.0,2.0,,,0.0,,,,,0.0,,0.209627980542,,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,2.13570460151e-05,,,,,,0.0,2.0,0.0,2.0,,,0.941609917166,,,,,,,,,2.0,,,,,,,,,,,,,,Acetaminophen
,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eating out
,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,cooking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Went to concert
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,2.0,,,,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,creative writing
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,worked out
,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,made challah
,,,,2.0,,,,,0.0,,,,,,,,,,,,,2.0,2.0,,,,,0.890852764459,,,,,0.0,0.0,,,,0.0,2.0,,,,,,,,2.0,0.000117709625395,0.0,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,2.0,,,,0.102666131692,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,,,,Off work
,,,,,,,1.40874836096,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.959935192951,1.706756025,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,,2.0,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,2.0,,,,,,0.0,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,,,2.0,,,,,0.0,,,,,,,,,,,,,2.0,2.0,,,,,0.875614350462,,,,,0.0,0.0,,,,0.0,2.0,,,0.000117709625395,,,,,2.0,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,2.0,,,,0.09600011928,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Sisu B Calm
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,WomenSense AdrenaSense Adrenal Formula
,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,neck massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klonopin
,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,slept in
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,healthy dinner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,studied
,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,oatmeal
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,Methotrexate
,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.209627980542,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,2.0,0.0,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,Curcumin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolterodine
,,,,,,,2.0,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive muscle relaxation
,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,swimming
,,,,,,,0.199566470558,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0001367129938,,0.0,0.0,0.0,,,2.0,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,0.144557543469,0.0,0.0,,,,,,,,,,0.0469573141939,,,,0.0,,,,,,,0.0,,,,0.0,,,2.0,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,hiking
,,,,2.0,,0.0,,0.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,0.0,0.0,,,0.0,,,2.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,2.0,,0.0,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,physical therapy
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,,,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decent sleep
,,,,,,,2.0,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pepto-bismol
,,,,,,,0.252995247702,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,,2.0,,,,,,0.0,0.0,,2.0,0.959935192951,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.144557543469,,,,,,0.321426709653,0.0,,,,,,,,2.0,2.0,0.000851370493821,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,2.0,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,0.0,0.0540540540541,0.0,,,,had sex
