Ritalin,BeachBody OnDemand,Fluvoxamine,Cyclizine,Cold Pack,Florinef,Amitriptyline,Yoga,mountain biking,Exercise,Tyrosine,Solifenacin,Prednisolone,Methylphenidate,gluten free diet,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,Plaquenil,Piyo,Multi vitamin,Probiotic,Chiropractic,Ligament Restore,TigerBalm,Vitamin C,Voltaren,Magnesium,Midodrine,Tavegyl,Passionflower,Love,Methylprednisolone,Ginger,Hydrocortisone,Ultrasound,Vitamin b12,Topiramate,PeaPure,Ropinirole,row
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Plaquenil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,Multi vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,2.0,,,,,0.0,2.0,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,,,,,2.0,2.0,2.0,0.0,,2.0,,,,2.0,,2.0,,2.0,Chiropractic
,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,Ligament Restore
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,Vitamin C
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Voltaren
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Magnesium
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,,0.0,,0.0,,0.0,Midodrine
,,2.0,,,,,0.0,2.0,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,0.0,,,,2.0,2.0,2.0,,,2.0,,,,2.0,,2.0,,2.0,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,,,,,0.0,,0.0,,0.0,Love
,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,Methylprednisolone
,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,Ginger
,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,Hydrocortisone
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,,,0.0,,0.0,Ultrasound
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,,,0.0,Topiramate
,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,PeaPure
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,,Ropinirole
