Albuterol,hiking,Cycling,cheese,didn't really eat lunch,wear mask,caffeine,Toprol,Miralax low dose at night,Amitriptyline,farm work,ate breakfast,danced,busy,Prednisone,Cetraben cream,nap,Feverfew,hearing aid,Self care,coffee,Mt. Si ACDC 2x Coco Caps,Probiotic,Colpermin,Stretching,TigerBalm,Megaspore,Magnesium,pain relief,Boswelia Complex,Dandelion tea,bread,Flexeril,Slept a lot,Guarana & Ginseng,Tramadol,laxatives,Standing desk,masturbated,Ritalin,no breakfast,Bicarb on scalp,fast food,Solifenacin,Charcoal,Coffee,Synthroid,excedrin migraine,Quell,Carbomer eye drops,Low-FODMAP diet,worked out,exercise,Superlong nap,Acetaminophen plus Codeine Number 3,Tetralabs Gold Caps CBN,Inderal,Buffered Salmon Oil - DHA - EPA,med long run,Recov Bipeptides,ativan,breathing exercises,Probiotics,Lamictal,Anakinra,exercised,swimming,Klonopin,Medication,Pain management,Thyroid-Pro,Zomig,Ginger,Hydrocortisone,swam,digestive enzyme,Vitamin e,Cerelle,Methotrexate,strength exercises,Tolterodine,Progressive muscle relaxation,linseed,Diazepam,Yoga,Norco,Contraceptive pill,physical therapy,Pepto-bismol,had sex,Florinef,Omeprazole,Metformin,lots of walking,Farm,Migraine Diet,Ribose,tough half marathon,Physio,Wellbutrin,alverine,dairy,slept late,shopping,gluten,SAM-E,gym,Headspace,Garden of Life Raw Meal,Calcium,Slept during day,Quell Unit,Noritriptyline,Sertraline,anti-nausea pills,Ibuprofen,Tylenol,Nortriptyline,BeachBody OnDemand,Inolaxol,Cyclizine,overeating,dozed,Iberogast,colofac mr,Fexofenadine,Darifenacin,Rowing machine,travel,Monteluklast,Ginkgo,hot,Fruit,no lunch,Tetralabs Gold Caps,Piyo,high sodium,Zyrtec,Vitamin d,Forever Aloe Berry,high salt,heating pads,Iron,Vitamin b12,pool,Azathioprine,didn't eat breakfast,Cardio,walked,Athlete Vitamin,massage,long walk,Paracetamol,Passionflower,Multi-vitamin,row
,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,farm work
,,,,0.0,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.120904138473,,,,,,,,0.0,,,,0.00305558572062,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.189035926521,,0.0,,,,,ate breakfast
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,danced
,,,2.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,2.0,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,Cetraben cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,0.0,,,,,,,0.000710228315165,,,2.0,,,,,,,,,0.0,,,,,0.0127504903983,,,,0.293519760136,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,2.0,,0.0,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,1.89682567381,,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,0.000710228315165,,,,,,,,,,0.000710228315165,,Feverfew
,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,hearing aid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self care
,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,0.0,,0.000710228315165,,,,,,,,2.0,,,,,,,,,0.0,,,,,0.0194499398068,,,,0.320690487761,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,2.0,,0.0,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,1.87951869235,,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,-2.22044604925e-16,,,,,,,,,,-2.22044604925e-16,,Probiotic
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,Colpermin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Stretching
,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,2.0,,TigerBalm
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Megaspore
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Magnesium
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,pain relief
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,Boswelia Complex
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dandelion tea
,,,2.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,bread
,,,,2.0,,,,,0.529411764705,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,3.33066907388e-16,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33066907388e-16,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.33066907388e-16,,,,,,,,2.0,,,,2.0,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept a lot
,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,Guarana & Ginseng
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,Tramadol
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,laxatives
,,0.0,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,2.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,2.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,Standing desk
,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,masturbated
,,,,,,,,,,,,,,,0.0,,0.0127504903983,,,,,0.0194499398068,,,2.0,,,,,,,,,0.0,,,,,,,,,0.18987053113,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,2.0,,0.0,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,1.95580959646,,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,0.0194499398068,,,,,,,,,,0.0194499398068,,Ritalin
,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,no breakfast
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Bicarb on scalp
,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,fast food
,,,,,,,,,,,,,,,2.0,,0.293519760136,,,,,0.320690487761,,,2.0,,,,,,,,,2.0,,,,,0.18987053113,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,0.0,,1.94667935578,,,,,,2.0,,,2.0,,,,,,2.0,,,,,,,,0.320690487761,,,,,,,,,,0.320690487761,,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Charcoal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108193067657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,,0.529411764705,,,,,,,,,,,,,,,,,,,,,,,3.33066907388e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33066907388e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33066907388e-16,,,,,,,,,,,,,,,,,Synthroid
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,excedrin migraine
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,Quell
,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,Carbomer eye drops
,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.00548995646197,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.00654143213031,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,Low-FODMAP diet
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,worked out
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00959510463451,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise
,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen plus Codeine Number 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.00548995646197,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,4.61729481996e-05,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,Inderal
,,2.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,med long run
