Standing,In bed all day,Ballet,uneventful,Driving,tired,exhausted,Councillor,Thermoformer arrived,dining room,lots of standing,pain,cold,junk food,Dogs,ate breakfast,stuffy nose,painful,Relaxing,pretty good day,angry,tapering off gabapentin this week,strange day,Attended long ceremony,Dinner out,dairy,sick,Jen here tomorrow,Chest CT scan,gal meeting,lunch with sue,cancelled 1 of 2 meetings,boxing day,stressed,Bad sleep,High Pain,Cleaned house,out of the house,listen to music ,Company for dinner,went outside,tidying lab,Sun exposure,Houseguest,Exausted,Shannons ceremony,Quell Unit,aggitated,Thyroid-Pro,christmas eve,good sleep,bad sleep,walked,craving sugar,chilled with friends,still sore form osteo,exercise,Cleaned,med change,Out of plaquenil,row
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Attended long ceremony
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Dinner out
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,dairy
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,sick
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,Jen here tomorrow
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,Chest CT scan
,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,gal meeting
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,lunch with sue
,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,cancelled 1 of 2 meetings
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,boxing day
,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stressed
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Bad sleep
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,High Pain
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,Cleaned house
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,out of the house
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,listen to music 
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,Company for dinner
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,went outside
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,tidying lab
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Sun exposure
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Houseguest
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,Exausted
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Shannons ceremony
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,aggitated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,christmas eve
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,good sleep
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,bad sleep
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,0.0,,0.0,0.0,0.0,2.0,2.0,walked
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,,,0.0,0.0,0.0,2.0,2.0,craving sugar
,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chilled with friends
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,,0.0,0.0,2.0,2.0,still sore form osteo
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,2.0,2.0,exercise
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,2.0,2.0,Cleaned
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,med change
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,Out of plaquenil
