Yoga,hiking,gluten free diet,Fluvoxamine,Glutamine,drank alcohol,mountain biking,Exercise,Tyrosine,blueberries,spicy meal,advil,Methylphenidate,Ubiquinol,Topiramate,ate breakfast,Uncooked cornstarch,dairy,Plaquenil,bunny cuddles,Chiropractic,10K steps,Superlong nap,ate badly,Daytime nap,Voltaren,strawberries,Vitamin b6,Magnesium,Midodrine,peanuts,Tavegyl,crafting,Love,Duexis,Ultrasound,listen to music ,exercise,cocodamol,Ropinirole,row
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,dairy
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Plaquenil
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,bunny cuddles
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,Chiropractic
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,10K steps
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,Superlong nap
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,ate badly
,2.0,,,2.0,,,,,2.0,2.0,2.0,,0.0,,0.0,0.0,,,,,,2.0,2.0,,,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,Daytime nap
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Voltaren
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,strawberries
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,Vitamin b6
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Magnesium
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Midodrine
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,,,,,0.0,,,,0.0,,peanuts
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,Tavegyl
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,,2.0,crafting
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,,,0.0,0.0,0.0,,2.0,Love
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,Duexis
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,,0.0,0.0,,2.0,Ultrasound
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,listen to music 
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,,2.0,exercise
,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,,,cocodamol
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,,Ropinirole
