8k steps,Fluvoxamine,juiced veggies,Naproxen,gluten,spicy food,Went to a party,fuck yeah avocado,ate breakfast,busy,nap,sugar,Plaquenil,woke up late,cuddled kitten,Excedrin,No milk,10K steps,treadmill,Moringa,Magnesium,THC,playing music,Swimming,Flexeril,11K steps,crawled,exercise,AOR Zinc-Copper Balance,gluten free diet,church,sex,Amitriptyline,slept 7 hours,eating out,nsaid,Tyrosine,grocery shopping,Methylphenidate,Synthroid,creative writing,11 hours of sleep,Buffered Salmon Oil - DHA - EPA,Slept well,Hike,Superlong nap,Quiet,listen to music ,Ropinirole,ate garlic,Tavegyl,Sisu B Calm,Trigger Points,slept in,Awesome cheat day,1 slice of cheese,Vitamin d,sun exposure,Yoga,hiking,physical therapy,Levothyroxine,Metformin,Exercise,trying to clean the house,lots of walking,Biosil,Dancing,vacation,Infection,15K steps,Therapy,Topiramate,slept late,banana,rest day,shopping,lower dose of msm,Chiropractic,laundry,crafting,Deep rest,2K steps,Midodrine,bunny cuddles,Thyroid-Pro (CanPrev),Love,slept 9 hours,Ultrasound,Ate poorly,ate a slice of cheese,Swam,Vacation,Worked in evening,prayer,drank alcohol,mountain biking,dairy,Ibuprofen 600mg,B12 timed release,advil,Took ibuprophen,10 hours interrupted sleep,hot,Exercise--walking,ate gluten,ate dairy,Wore arch supports all day,Kayaking,Mixed nuts snack,Voltaren,no breakfast,1 slice of cheese ,Car travel,archery,slept 10 hours,walked,no gluten,mango,Groceries,long walk,travel,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar
,0.0,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Plaquenil
,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,0.0,woke up late
,,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,cuddled kitten
,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,0.0,2.0,Excedrin
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,No milk
,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,0.0,2.0,,0.0,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,,2.0,0.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,10K steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025857911024,,,,,,,,,,,,,,,,,,,,,,0.592349159626,,,,,,1.40765084037,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.592349159626,,,,,,,,,,0.592349159626,,,,,,0.0,,,,,,0.592349159626,,,,,,,,,,treadmill
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Moringa
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Magnesium
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,THC
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,playing music
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Swimming
0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,Flexeril
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,11K steps
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,crawled
,2.0,,,,,,,,,,,2.0,,,,,0.0,0.0025857911024,,2.0,,,,,,,,,2.0,,,,,,,2.0,,2.0,,,,,,,,,0.0,2.0,0.527778587484,0.0,,,,,1.47222141252,,,0.0,1.45138823359,,,,2.0,,0.0,,,,,,,2.0,,,,,2.0,0.0,,0.0,,,2.0,0.0,,2.0,,2.0,,0.527778587484,,,,,2.0,2.0,0.0,,,0.527778587484,,,,,,0.0,,,,2.0,,0.527778587484,,,,,,,,,,exercise
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,AOR Zinc-Copper Balance
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,gluten free diet
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,church
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,sex
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 7 hours
,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eating out
,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,nsaid
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Tyrosine
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,grocery shopping
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Methylphenidate
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,Synthroid
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,creative writing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 hours of sleep
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Slept well
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Hike
,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,2.0,,,,2.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,Superlong nap
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Quiet
,2.0,,,,,,,,,,,2.0,,,,,0.0,,,2.0,,,,,,,0.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,,2.0,0.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,listen to music 
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Ropinirole
,,,,,,,,,,,,,,,,,,0.592349159626,,,,,,,,,0.527778587484,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,ate garlic
,2.0,,0.0,,,,0.0,,2.0,,,2.0,,0.0,,,0.0,,,2.0,,0.0,0.0,,,,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,0.0,,0.0,,,,0.0,0.0,2.0,,,2.0,2.0,,,,,,0.0,2.0,0.0,,,2.0,2.0,,0.0,2.0,,,,0.0,2.0,,,,,,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,,2.0,,,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,,,,Tavegyl
,,,2.0,,,,2.0,,0.0,,,,,2.0,,,,,,,,2.0,2.0,,,,,2.0,,,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,2.0,,0.0,,,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,Sisu B Calm
,,,2.0,,,,2.0,,0.0,,,,,2.0,,,,,,,,2.0,2.0,,,,,2.0,,,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,2.0,0.0,,,,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,Trigger Points
,,,,,0.0,0.0,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.77240012275,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,2.0,0.0,0.0,,0.0,2.0,slept in
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awesome cheat day
,,,,,,,,,,,,,,,,,,1.40765084037,,,,,,,,,1.47222141252,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,1 slice of cheese
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,sun exposure
,2.0,,,,,,,,,,,2.0,,,,,0.0,,,2.0,,,,,,,0.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,,2.0,0.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,Yoga
,0.0,,,,2.0,,,,,,,0.0,,,,,2.0,,,0.0,2.0,,,,,,1.45138823359,,0.0,,,,,,2.0,0.0,,0.0,,,,,,,2.0,,2.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,2.0,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,,,hiking
,,,0.0,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levothyroxine
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,Metformin
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Exercise
,,,2.0,,,,2.0,,0.0,,,,,2.0,,,,,,,,2.0,2.0,,,,,2.0,,,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,2.0,0.0,0.0,,,,,,,,2.0,,,,,,2.0,0.0,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,trying to clean the house
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,lots of walking
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Biosil
,,,2.0,,,,2.0,,0.0,,,,,2.0,,,,,,,,2.0,2.0,,,,,2.0,,,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,2.0,0.0,0.0,,,,,,,,2.0,,,,0.0,,2.0,,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,Dancing
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,vacation
