Vitamins,slept 12 hours,Fluids,Amitriptyline,played video games,ate breakfast,busy,sugar,First date,Netflix day,rice,coffee,Aloe Detox Water,ate gluten,treadmill,day at home,Turmeric,maple syrup,Flexeril,lifted weights,11 hours of sleep,took naps,Medications,Language Learning,church,bacon,Human Growth Hormone,eating out,ASMR,Coffee,grocery shopping,Medical Marijuana,espresso,Synthroid,Vitamin B2,SPD alternative treatments,worked out,exercise,Work,Off work,Pet Therapy,Medical marijuana,Superlong nap,breathing exercises,Anakinra,ate garlic,Into the city,Walking,Medication,ribs,studied,fun shopping,Coenzyme q-10,beans,Vitamin d,Counseling,Late lunch,sun exposure,massage,Yoga,hiking,physical therapy,shopped,had sex,mangos,Rock climbing,ate red meat,Extra Medications,Metformin,Exercise,sugar yesterday,1 slice of cheese,tough half marathon,Therapy,Dermatologist,Weather- rain,slept late,CoQ10,shopping,lower dose of msm,Chiropractic,worked in garden,slept in,Midodrine,worked,banana,Meditation,counselor,ate a slice of cheese,TENS Unit,Zomig,Computer for many hours,Alcohol yesterday,150km yday,Fexofenadine,yoga,advil,did 7 mins of exercise   woohoo,Daily walk,housework,Exercise--walking,ate dairy,beach,laundry,Meat,ate eggs,ativan,exercised,Essential oils,no breakfast,1 slice of cheese ,pool,psychiatrists,archery,neuro,walked,no sleep,Paracetamol,row
,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,rice
2.0,0.0,2.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,2.0,,,,,,,,0.0,,2.0,,,,2.0,,,,2.0,,,,,,,,0.0,,coffee
0.0,2.0,0.0,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,2.0,0.0,,,,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,Aloe Detox Water
,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate gluten
,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,2.0,2.0,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,,0.0,treadmill
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day at home
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,,,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,Turmeric
,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,maple syrup
,,,0.0,2.0,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,lifted weights
,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,2.0,11 hours of sleep
,,,0.0,2.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took naps
,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,Medications
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,0.0,,,,,,,,2.0,,,,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,Language Learning
0.0,2.0,0.0,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,,,2.0,,,,,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,church
,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,bacon
,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Growth Hormone
,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eating out
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,0.0,,,,,,,0.0,2.0,,,,,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,ASMR
0.0,2.0,0.0,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,,,2.0,0.0,,,,2.0,,,0.0,2.0,,,2.0,,,,,2.0,2.0,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,Coffee
,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,2.0,,,2.0,2.0,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,2.0,2.0,,0.0,0.0,2.0,,1.98755030659,,,,,2.0,,,0.0,,,,,,2.0,2.0,,,,,2.0,,0.0,,,,2.0,0.0,,,,,,2.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,2.0,,2.0,,,,grocery shopping
0.0,2.0,0.0,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,,,2.0,0.0,,,,2.0,0.0,,,2.0,,,2.0,,,,,2.0,2.0,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,Medical Marijuana
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,0.0,,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,,,,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,espresso
,,,0.0,2.0,,,,,,,,,2.0,,,,,0.0,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthroid
,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,Vitamin B2
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,0.0,,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,SPD alternative treatments
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,worked out
,,,,,0.0,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,0.0,,2.0,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,2.0,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.527778587484,,,,,,,,,2.0,0.0,0.0,,,2.0,,,2.0,0.0,0.0,2.0,0.0,,,,0.011963886246,,2.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0,0.0,2.0,0.0,2.0,,,2.0,exercise
,,,,,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Work
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,Off work
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,0.0,,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,Pet Therapy
2.0,0.0,2.0,,,,0.0,,,,,0.0,2.0,,,,0.0,,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,0.0,,Medical marijuana
,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
0.0,2.0,0.0,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,,,2.0,0.0,,,,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,breathing exercises
,,,,,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,2.0,Anakinra
,,,,,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,2.0,ate garlic
,,,,,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Into the city
,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,Walking
2.0,0.0,2.0,,,2.0,0.0,,,,,0.0,2.0,,,,0.0,,,,,,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,0.0,,,0.0,,2.0,,,0.0,0.0,,2.0,,,,0.0,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,2.0,,0.0,,,,2.0,0.0,2.0,,,,,0.0,2.0,,,,,2.0,0.0,,0.0,,,,,,2.0,,2.0,0.0,2.0,2.0,,,,,,,,2.0,,,,0.0,,0.0,,0.0,,Medication
,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ribs
,,,2.0,0.0,2.0,,,,,,,,0.0,,,,,2.0,,,2.0,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,studied
,,,2.0,0.0,,,,,,,,,0.0,,,,,2.0,,,2.0,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fun shopping
,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,Coenzyme q-10
,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,beans
,,,0.0,2.0,2.0,,,,,,,,2.0,,,,,0.0,,,0.0,0.0,,,,,,,,1.98755030659,,,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,,0.0,,,2.0,,,,,,0.0,0.0,,,,,0.0,,2.0,,,,0.0,2.0,,,,,,0.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,Vitamin d
,,,,,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Counseling
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Late lunch
,,,,,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,sun exposure
0.0,2.0,0.0,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,,,2.0,0.0,,,,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,massage
,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,Yoga
,,,,,0.0,0.581600119925,,2.0,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.527778587484,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,2.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,2.0,hiking
,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,2.0,0.0,,,,,,,,,0.0,,,,,2.0,,,2.0,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopped
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mangos
,,,,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Rock climbing
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ate red meat
0.0,2.0,0.0,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,,,2.0,0.0,,,,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,2.0,,Extra Medications
,,,0.0,2.0,,,,,,,,,2.0,,,,,0.0,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metformin
,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,Exercise
,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,sugar yesterday
