Codeine-Panadol,Valdoxan,Ritalin,Iron,Vyvanse,Acetyl Carnitine,Lithium,Nabumetone,Soluble Aspirin,N-Acelcysteine,Aspirin,Nasonex,Prednisone,Creatine,Clonazepam,Zofran,Risperidone,Buspirone,Trileptal,Athlete Vitamin,Hydroxychloroquine,antihistamines,Valium,Ventolin,Antihistamine,Physical activity,Codeine,Spironolactone,Vitamin B,Temazepam,Probiotics,Lamictal,Boswelia,Flutiform,Boswelia Complex,Panamax,Deep Breathing,Wellbutrin,Gabapentin,Zoladex,Voltaren,Sertraline,Nortriptyline,mag ox,Vitamin a,Lyrica,Ibuprofen,Meditation,Magnesium,row
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,,,,0.0,,,2.0,,,,,,,Flutiform
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia Complex
,,,,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,,,,,2.0,,,0.0,,,,,,,Panamax
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Deep Breathing
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,Wellbutrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,,,,2.0,,,,,,,Zoladex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertraline
,,,,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,,,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,mag ox
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin a
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,Lyrica
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
