Viibryd,Dancing,physical therapy,Aleve,Mediterranean Diet,Caffeine,Provigil,Snacks,Ventolin,Naproxen,Levothyroxine,birth control,Magnesium glycinate,Exercise,5-htp,Nasonex,Claritin,Flo-pred,Strattera,Fluoxetine,B12 timed release,Sisu B Calm,Armodafinil,Vitamin b12,Snooze,vitamin D tablets,gluten free,Plaquenil,playing music,creative writing,Aromatherapy,Exercise--walking,Famotidine,Therapy,CoQ10,Trigger Points,Buffered Salmon Oil - DHA - EPA,Methylcobalamine,Topamax,therapy session,Tylenol 3,Tavegyl,Coffee,Astelin,Aga,Tacrolimus,Vitamin C,Deep rest,Ropinirole,Adderall,Folic acid,Meditation,Thyroid-Pro (CanPrev),Swimming,Allegra,Klonopin,Cannabis,Singulair,DEHA,Fish oil,Low oxalate,rebounding,Vitamin b complex,Biosil,Allergy Shots,prayer,Cabergoline,Veggies,Zinc,Vitamin d,Methotrexate,AOR Zinc-Copper Balance,Melatonin,Tolterodine,LUSH acne spot-treatment,massage,row
,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Claritin
,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,Flo-pred
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Strattera
0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,Fluoxetine
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,0.0,0.0,,0.0,,2.0,,2.0,2.0,,,,,2.0,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,,B12 timed release
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,2.0,,0.0,,0.0,0.0,,,,,0.0,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,Sisu B Calm
0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,Armodafinil
,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,0.0,,,0.0,,,,Vitamin b12
,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Snooze
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin D tablets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,,0.0,,2.0,,2.0,2.0,,,,,2.0,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,,playing music
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,0.0,,,0.0,,2.0,,2.0,2.0,,,,,2.0,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,,creative writing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,0.0,0.0,,,,2.0,,2.0,2.0,,,,,2.0,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,,Exercise--walking
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Famotidine
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,,,0.0,0.0,,,,,0.0,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,Therapy
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,CoQ10
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,Trigger Points
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,0.0,,0.0,,,,,,0.0,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Topamax
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,therapy session
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,Tavegyl
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Astelin
,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,Aga
,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,Tacrolimus
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Vitamin C
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,0.0,0.0,,0.0,,2.0,,2.0,2.0,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,,Deep rest
,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Ropinirole
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Folic acid
0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Meditation
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,0.0,,0.0,0.0,,,,,0.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,Thyroid-Pro (CanPrev)
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,0.0,0.0,,0.0,,2.0,,2.0,2.0,,,,,2.0,,,,,,0.0,,,,,2.0,,,,,,,,,,,2.0,,0.0,,,,,,2.0,,,,,Swimming
,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,2.0,,,,,,,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Allegra
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,2.0,,,,0.0,0.0,,,0.0,,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low oxalate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebounding
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,2.0,,,,0.0,0.0,,,0.0,,,,Vitamin b complex
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,0.0,,0.0,0.0,,,,,0.0,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,2.0,,,,,,0.0,,,,,Biosil
,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,,2.0,,,,,2.0,,,,,,,,,2.0,,2.0,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,2.0,,2.0,,2.0,,,2.0,,,,,,2.0,2.0,,,2.0,,,,Allergy Shots
,2.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,0.0,0.0,,0.0,,2.0,,2.0,2.0,,,,,2.0,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,prayer
0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Cabergoline
,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veggies
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,,0.0,,,0.0,,,,Zinc
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,,,,0.0,,,,Vitamin d
,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,0.0,2.0,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,2.0,2.0,,2.0,,0.0,,0.0,0.0,,,,,0.0,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,,AOR Zinc-Copper Balance
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolterodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
