Wear shoulder brace,coconut,napped well,Lying flat,More stretching,bed day,Miralax low dose at night,3 drinks,Caffeine,vacation,Protecting back,Poor sleep (hotel),Ambien CR,Glutamine,drank alcohol,Spasfon,ate breakfast,haircut,busy,spinach,Zofran,Hydroxyzine,new environment,gluten free,Ubiquinol,nap,dairy,dairy free,party,exercise,cuddled kitten,Oxynorm,Slept well,Woke Up With Alarm,mass transit,butternut squash risotto,listen to music ,heating pads,Norco,heavy physcial exertion,Late lunch,Freezie wrap,no breakfast,Sleeping pills ,studied,walked,Better sleep,very little sleep,Heating Pad,bed late,Vitamin b6,cocodamol,drawing,short nap,row
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,Slept well
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Woke Up With Alarm
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,mass transit
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,butternut squash risotto
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,listen to music 
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,heating pads
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Norco
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,heavy physcial exertion
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,Late lunch
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Freezie wrap
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,no breakfast
,,,,,,,,0.0,,,,,0.0,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,Sleeping pills 
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,studied
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,0.0,2.0,walked
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,,0.0,,2.0,,0.0,2.0,0.0,Better sleep
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,,0.0,2.0,0.0,very little sleep
,,,,,,,,0.0,,,,,0.0,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,Heating Pad
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,,2.0,0.0,2.0,bed late
,,,,,,,,2.0,,,,,2.0,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,Vitamin b6
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,0.0,cocodamol
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,,2.0,drawing
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,,short nap
