10.5 hours sleep,hiking,allergy shot,slept 8 hours!,bacon,cuddled kitten,Sunlight,Synthroid,8.5 hours sleep,slept 7 hours,gluten,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,9 hours sleep,Strattera,spinach,smoothie,Allergy Shots,12 hours sleep,bed late,8 hours sleep,did some homework,Famotidine,holiday,Vitamin b complex,exercise,Netflix day,siracha,coconut milk,laundry,banana,therapy session,Astelin,small breakfast,Vitamin C,caffeine,8.75 hours sleep,social gathering,Daytime nap,THC,slept 11 hours,Allegra,Klonopin,Goth clubbing,Singulair,shopping,Fish oil,Chocolate after 6pm,CoQ10,Vitamin b12,mango,mass transit,Post-op ice device,Zinc,Vitamin d,popcorn,crafting,Melatonin,row
,,,,,,,,,,,,,,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Magnesium glycinate
,,,,,,,,,,,,,1.0,,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,5-htp
,,,,,,,,,,,,,1.0,1.0,,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Nasonex
,,,,,,,,,,,,,1.0,1.0,1.0,,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Claritin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tumeric extract
,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,,,-1.0,,,,,,1.0,1.0,-1.0,,-1.0,,,,,,,,-1.0,,-1.0,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,,,,-1.0,-1.0,,,-1.0,9 hours sleep
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Strattera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinach
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoothie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allergy Shots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 hours sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed late
,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,,1.0,-1.0,,,,,,,1.0,-1.0,,-1.0,,,,,,,,-1.0,,-1.0,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,,,,-1.0,-1.0,,,-1.0,8 hours sleep
,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,,1.0,-1.0,,,,,,1.0,,-1.0,,-1.0,,,,,,,,-1.0,,-1.0,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,,,,-1.0,-1.0,,,-1.0,did some homework
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Famotidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holiday
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,siracha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coconut milk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laundry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,therapy session
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Astelin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small breakfast
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75 hours sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social gathering
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 11 hours
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Allegra
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goth clubbing
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,1.0,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolate after 6pm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoQ10
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mass transit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post-op ice device
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,Zinc
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,popcorn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crafting
,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,-1.0,1.0,,,,,,-1.0,-1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,Melatonin
