Codeine-Panadol,Valdoxan,Iron,paperwork,Vitamin a,Vyvanse,Zoladex,Acetyl-l-carnitine,Spironolactone,read book,Acetyl Carnitine,Acupuncture,birth control,Magnesium glycinate,fuck yeah avocado,Soluble Aspirin,5-htp,hand and face physio only,Nasonex,Claritin,tumeric extract,Strattera,Creatine,Zofran,Synthroid,had sex ,Buspirone,Famotidine,Aspirin,Vitamin b complex,Flutiform,washing up,laundry,antihistamines,Voltaren,Ventolin,therapy session,Antihistamine,Ibuprofen,Codeine,Astelin,vacuuming,Vitamin C,Vitamin B,blowjob,Temazepam,Probiotics,Magnesium,Boswelia,Vitamin d+calcium,Vitamin b12,Boswelia Complex,Panamax,Prednisone,Allegra,Klonopin,Goth clubbing,Singulair,had sex last night,Fish oil,cuddles!,CoQ10,cooked,Allergy Shots,Athlete Vitamin,Valium,Zinc,Vitamin d,had sex,Melatonin,row
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Flutiform
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,washing up
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,laundry
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,antihistamines
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Voltaren
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Ventolin
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,therapy session
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Antihistamine
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,0.0,,2.0,,0.0,,0.0,0.0,,,0.0,,Ibuprofen
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Codeine
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Astelin
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,vacuuming
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Vitamin C
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Vitamin B
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,blowjob
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Temazepam
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Probiotics
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Magnesium
2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,,,,,2.0,,,2.0,,,,2.0,2.0,,,2.0,,2.0,,2.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,Boswelia
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d+calcium
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Vitamin b12
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Boswelia Complex
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,Panamax
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,Prednisone
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Allegra
,,,,,,,,,,,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,,0.0,2.0,,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,Klonopin
,,,,,,,,,,,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,0.0,,2.0,,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,Goth clubbing
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Singulair
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,had sex last night
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,,,0.0,,2.0,,,0.0,0.0,,0.0,Fish oil
,,,2.0,,,,,,2.0,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,2.0,,cuddles!
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,2.0,,,0.0,0.0,,0.0,CoQ10
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,0.0,,cooked
,,,,,,,,,,,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,0.0,0.0,2.0,,2.0,,2.0,,,,,2.0,2.0,,2.0,Allergy Shots
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,Athlete Vitamin
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,Valium
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,,0.0,,0.0,Zinc
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,,,0.0,Vitamin d
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,,,had sex
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,,Melatonin
