8k steps,Yoga,Pedicure,fresh food,took nap,b12 shot,shopped,crocheted,had sex,Vicodin,played video games,busy,Prednisone,grocery shopping,smoothie,vacation,15K steps,nap,ate pizza,alcohol yesterday,holiday,gym,kayaked yesterday,Slept well,Cefaly Unit,Seasonique,10K steps,Kayaking,16K steps,Daytime nap,2K steps,5k steps,Car travel,Maxalt,slept in,Gardening,11K steps,Physical therapy,fun shopping,12K Steps,Lidocaine Patch,new environment,Cane to get down stairs,took naps,Ibuprofen,smoked,massage,row
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,alcohol yesterday
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,holiday
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,gym
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,kayaked yesterday
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,Slept well
2.0,0.0,2.0,,,,,,2.0,0.0,,2.0,0.0,,,,2.0,,,,2.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,0.0,,0.0,Cefaly Unit
,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,0.0,,2.0,,,2.0,,,2.0,2.0,2.0,0.0,2.0,0.0,Seasonique
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,10K steps
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,Kayaking
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,16K steps
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,Daytime nap
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,2K steps
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,5k steps
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,Car travel
2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.11022302463e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.22044604925e-16,Maxalt
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,slept in
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,2.0,0.0,1.11022302463e-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Gardening
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,,,,2.0,,2.0,11K steps
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,2.0,,2.0,Physical therapy
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,2.0,fun shopping
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,,,2.0,,2.0,12K Steps
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,,,2.0,,2.0,Lidocaine Patch
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,,0.0,0.0,2.0,0.0,2.0,new environment
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,,0.0,2.0,0.0,2.0,Cane to get down stairs
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,,2.0,0.0,2.0,took naps
2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.22044604925e-16,Ibuprofen
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,,2.0,smoked
2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,1.11022302463e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,,massage
