Codeine-Panadol,Valdoxan,Iron,Cod liver oil,IVIG,Vyvanse,Ventolin,Acetyl Carnitine,Lithium,Soluble Aspirin,Exercise,Aspirin,Nasonex,Forever Aloe Berry,Vitamin D3,Sea Bands,Prednisone,Creatine,Clonazepam,Zofran,Zantac,Synthroid,Buspirone,N-Acelcysteine,Psyllium husk,Athlete Vitamin,Mirtazapine,antihistamines,Valium,Social interactions,Excedrin,Antihistamine,Ligament Restore,Codeine,Coffee,SAD Light Box,Spironolactone,Vitamin B,Hobbies,Temazepam,Probiotics,Magnesium,Boswelia,Flutiform,Boswelia Complex,Panamax,distraction,Zoladex,Voltaren,Sertraline,Nortriptyline,Vitamin a,Sleep,Ibuprofen,Adderall XR,row
,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,Vitamin D3
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea Bands
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Prednisone
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Creatine
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Clonazepam
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Zofran
,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,Zantac
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Synthroid
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Buspirone
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,N-Acelcysteine
,,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,Psyllium husk
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Athlete Vitamin
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,Mirtazapine
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,antihistamines
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Valium
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,Social interactions
,,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Excedrin
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Antihistamine
,,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Ligament Restore
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Codeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Coffee
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,SAD Light Box
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Spironolactone
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Vitamin B
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0,,,Hobbies
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Temazepam
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Probiotics
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Magnesium
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Boswelia
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Flutiform
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Boswelia Complex
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,,0.0,,Panamax
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,distraction
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,0.0,,0.0,,Zoladex
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,2.0,0.0,,0.0,,Voltaren
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,Sertraline
2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,,2.0,,Nortriptyline
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,,0.0,,Vitamin a
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,Sleep
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall XR
