didn't really eat lunch,Vitamins,Cod liver oil,IVIG,Fluids,Naproxen,fuck yeah avocado,ate breakfast,Vitamin D3,smoothie,Risperidone,Psyllium husk,holiday,busy,coffee,Aloe Detox Water,Excedrin,ate gluten,creative writing,slept 12 hours,playing music,Swimming,home alone,Zantac,Tramadol,12K Steps,cuddled kitten,AOR Zinc-Copper Balance,drank a lot,Ritalin,Dancing,Language Learning,Pancake Breakfast,took a bath ,ASMR,Coffee,Medical Marijuana,espresso,caffeine,Dexedrine,SPD alternative treatments,Turmeric,exercise,Off work,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,Quiet,breathing exercises,listen to music ,Lamictal,grapes,Tavegyl,Sisu B Calm,Medication,Clonazepam,new environment,massage,hiking,physical therapy,Pepto-bismol,had sex,church,Extra Medications,lots of walking,spinach,Biosil,went swimming,Therapy,Weather- rain,Deep Breathing,banana,social gathering,Trigger Points,Ligament Restore,Deep rest,worked,sex,Thyroid-Pro (CanPrev),cake,Meditation,TENS Unit,allergy shot,marijuana,prayer,B12 timed release,travel,severe pain,Daily walk,hot,Exercise--walking,coconut milk,Codeine,Essential oils,no breakfast,Adderall,walked,no sleep,mango,pasta and veggies,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risperidone
,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,Psyllium husk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holiday
,0.0,,,2.0,0.0,0.0,,,,,,,,2.0,0.0,,,0.0,2.0,0.0,0.0,,,,,0.0,2.0,,,2.0,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,,,0.0,,2.0,,,2.0,0.0,,,2.0,,1.99998741177,0.0,,,,2.0,,0.0,,0.0,2.0,,0.0,2.0,,,0.0,2.0,,,2.0,,1.98044732996,,,0.0,,,,0.0,,,busy
,2.0,,,0.0,,,,,,,,,2.0,,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,coffee
,0.0,,,2.0,,,,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Aloe Detox Water
,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,Excedrin
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,0.0,,,,,,ate gluten
,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,creative writing
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,slept 12 hours
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,playing music
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,Swimming
,,2.0,2.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,home alone
,,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,Zantac
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12K Steps
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,cuddled kitten
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,AOR Zinc-Copper Balance
,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,drank a lot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Dancing
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Language Learning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,Pancake Breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took a bath 
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,ASMR
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Coffee
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Medical Marijuana
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,,,,2.0,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,espresso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,SPD alternative treatments
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,Off work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pet Therapy
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,Medical marijuana
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,Quiet
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,breathing exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,listen to music 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grapes
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Tavegyl
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Sisu B Calm
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clonazepam
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,new environment
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pepto-bismol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,church
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Extra Medications
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,lots of walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinach
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Biosil
,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,,,,went swimming
,2.0,,,0.0,2.0,2.0,,,,,,,1.99998741177,0.0,2.0,,,2.0,0.0,2.0,2.0,,,,,2.0,0.0,,,0.0,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,,,2.0,,0.0,,,0.0,2.0,,,0.0,,,2.0,,,,0.0,,2.0,,2.0,0.0,,2.0,0.0,,,2.0,0.0,,,0.0,,0.0185776403568,,,2.0,,,,2.0,,,Therapy
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Weather- rain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,Deep Breathing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social gathering
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,2.0,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Trigger Points
,,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,Ligament Restore
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,Deep rest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,worked
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,sex
,,,,,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,2.0,,2.0,,,,,,,2.0,0.0,,,,,0.0,,,,,,,,,,Thyroid-Pro (CanPrev)
,,2.0,2.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,cake
,0.0,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,0.0,,,,,2.0,,,,,0.0,,2.0,,2.0,,,0.0,,,,0.0,,,Meditation
,2.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,TENS Unit
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,allergy shot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marijuana
,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,prayer
