Wear shoulder brace,Standing desk,Lying flat,More stretching,Ecural,Sunlight,Protecting back,Ambien CR,Miralax low dose at night,Magnesium glycinate,Magnesium gel,5-htp,Nasonex,Claritin,Lithium,Strattera,Creatine,Clonazepam,Zofran,Hydroxyzine,Synthroid,gluten free,dairy free,Famotidine,Vitamin b complex,Oxynorm,Ranitidine,Probiotic,Astelin,Vitamin C,Physiotherapy,heating pads,linseed,Norco,THC,Melatonin,Prednisone,Allegra,Klonopin,Freezie wrap,Singulair,Fish oil,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Nortriptyline,cocodamol,Mezavant,drawing,row
,0.0,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Magnesium gel
,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5-htp
,,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nasonex
,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Claritin
,0.0,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Lithium
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Strattera
,0.0,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Creatine
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Clonazepam
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Zofran
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Hydroxyzine
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Synthroid
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,gluten free
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,dairy free
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Famotidine
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Vitamin b complex
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Oxynorm
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Ranitidine
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Probiotic
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Astelin
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Vitamin C
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Physiotherapy
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,heating pads
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,linseed
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,0.0,Norco
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,THC
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Allegra
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Klonopin
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,Freezie wrap
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,Singulair
,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,1.54083468959,0.0,,0.0,,Fish oil
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,Vitamin b12
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,Post-op ice device
,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,Zinc
,2.0,,,2.0,0.0,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,,2.0,,,0.0,0.0,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,0.0,,0.0,1.54083468959,0.0,0.0,0.0,,2.0,,2.0,,Vitamin d
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,,,0.0,,Nortriptyline
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,0.0,cocodamol
,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,,,Mezavant
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,drawing
